createdAt,type,14DayAvg
2015-03-31,PUBLISHING_TASK,1.0000
2015-04-09,CALL,2.0000
2015-04-09,NOTE,1.0000
2015-04-10,NOTE,1.0000
2015-04-15,CALL,1.5000
2015-04-18,NOTE,1.3333
2015-04-22,TASK,1.0000
2015-06-06,TASK,1.0000
2015-06-25,TASK,1.0000
2015-07-08,TASK,1.0000
2015-07-13,PUBLISHING_TASK,1.0000
2015-07-17,NOTE,1.0000
2015-07-21,NOTE,1.0000
2015-08-18,CALL,1.0000
2015-08-18,NOTE,1.0000
2015-08-18,TASK,2.0000
2015-10-08,EMAIL,1.0000
2015-10-08,NOTE,2.0000
2015-10-10,CALL,1.0000
2015-10-10,EMAIL,1.0000
2015-10-10,MEETING,1.0000
2015-10-10,NOTE,1.5000
2015-10-10,TASK,1.0000
2015-10-25,CALL,1.0000
2015-11-04,NOTE,1.0000
2015-11-18,NOTE,1.0000
2015-12-17,NOTE,2.0000
2015-12-25,NOTE,1.5000
2015-12-29,MEETING,2.0000
2015-12-29,NOTE,1.6667
2015-12-29,TASK,1.0000
2015-12-30,NOTE,1.5000
2015-12-31,PUBLISHING_TASK,1.0000
2016-01-07,CALL,3.0000
2016-01-07,NOTE,1.2500
2016-01-08,TASK,5.0000
2016-01-09,NOTE,1.2500
2016-01-11,TASK,4.3333
2016-01-12,NOTE,1.0000
2016-01-12,PUBLISHING_TASK,1.0000
2016-01-12,TASK,6.0000
2016-01-13,TASK,6.7500
2016-01-14,PUBLISHING_TASK,1.5000
2016-01-14,TASK,9.2000
2016-01-15,TASK,8.1667
2016-01-18,TASK,7.4286
2016-01-21,TASK,6.6250
2016-01-22,TASK,5.8750
2016-01-29,NOTE,1.0000
2016-01-29,TASK,2.0000
2016-02-02,NOTE,1.5000
2016-02-06,CALL,1.0000
2016-02-09,NOTE,1.3333
2016-02-20,NOTE,17.0000
2016-02-21,NOTE,27.3333
2016-02-23,NOTE,28.3333
2016-02-24,NOTE,24.2500
2016-03-01,NOTE,19.8000
2016-03-02,NOTE,16.6667
2016-03-03,TASK,3.0000
2016-03-04,TASK,3.0000
2016-03-05,TASK,2.3333
2016-03-07,TASK,3.5000
2016-03-08,TASK,3.4000
2016-03-16,EMAIL,5.0000
2016-03-16,NOTE,2.0000
2016-03-16,PUBLISHING_TASK,1.0000
2016-03-18,NOTE,2.5000
2016-03-19,NOTE,2.6667
2016-03-20,NOTE,17.7500
2016-03-21,NOTE,16.6000
2016-03-22,NOTE,16.3333
2016-03-23,PUBLISHING_TASK,1.0000
2016-03-24,CALL,1.0000
2016-03-24,EMAIL,9.5000
2016-03-29,EMAIL,6.6667
2016-03-29,NOTE,14.4286
2016-04-08,EMAIL,1.0000
2016-04-21,EMAIL,1.0000
2016-04-21,NOTE,1.0000
2016-04-27,MEETING,1.0000
2016-05-03,NOTE,1.0000
2016-05-04,CALL,3.0000
2016-05-04,EMAIL,2.0000
2016-05-04,MEETING,1.0000
2016-05-04,NOTE,1.0000
2016-05-10,NOTE,1.0000
2016-05-12,MEETING,2.0000
2016-05-13,NOTE,8.0000
2016-05-14,NOTE,8.8000
2016-05-15,NOTE,9.3333
2016-05-17,PUBLISHING_TASK,2.0000
2016-05-18,MEETING,2.0000
2016-05-24,NOTE,19.2500
2016-05-26,CALL,3.0000
2016-05-27,NOTE,12.2500
2016-05-27,TASK,1.0000
2016-05-31,CALL,3.0000
2016-06-02,NOTE,10.3333
2016-06-03,NOTE,16.7500
2016-06-04,CALL,2.3333
2016-06-04,NOTE,23.4000
2016-06-06,EMAIL,2.0000
2016-06-06,TASK,7.0000
2016-06-07,EMAIL,3.0000
2016-06-07,TASK,6.3333
2016-06-08,EMAIL,8876.0000
2016-06-09,NOTE,18.8000
2016-06-17,PUBLISHING_TASK,1.0000
2016-06-20,NOTE,3.5000
2016-06-21,CALL,1.0000
2016-06-22,NOTE,2.6667
2016-06-25,EMAIL,1.0000
2016-06-25,NOTE,2.6667
2016-06-29,CALL,1.5000
2016-06-29,NOTE,2.5000
2016-06-30,NOTE,2.8000
2016-07-01,PUBLISHING_TASK,1.0000
2016-07-05,PUBLISHING_TASK,1.0000
2016-07-07,PUBLISHING_TASK,1.3333
2016-07-08,NOTE,2.0000
2016-07-14,CALL,1.0000
2016-07-14,MEETING,1.0000
2016-07-14,NOTE,1.5000
2016-07-15,PUBLISHING_TASK,2.3333
2016-07-19,NOTE,1.6667
2016-07-23,PUBLISHING_TASK,2.5000
2016-07-25,CALL,2.0000
2016-07-26,EMAIL,1.0000
2016-07-26,NOTE,1.6667
2016-07-29,NOTE,2.0000
2016-08-02,MEETING,1.0000
2016-08-02,NOTE,1.6667
2016-08-04,NOTE,1.5000
2016-08-16,EMAIL,1.0000
2016-08-16,NOTE,2.0000
2016-08-18,EMAIL,1.0000
2016-08-18,NOTE,2.0000
2016-08-22,EMAIL,1.0000
2016-08-22,NOTE,1.6667
2016-08-23,NOTE,1.5000
2016-08-26,EMAIL,1.0000
2016-08-26,NOTE,1.4000
2016-08-29,TASK,3.0000
2016-09-09,NOTE,2.0000
2016-09-10,EMAIL,1.0000
2016-09-10,MEETING,1.0000
